name,Famous_for,Address,Hear_the_story,longitude,latitude,DIID,
"CHURCHILL, Lord Randolph (1849-1895)","British statesman, father of Sir Winston Churchill","2 Connaught Place, W2",,-0.162108,51.513521,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"DISRAELI, Benjamin - Earl of Beaconsfield (1804-1881)",British politician of the Conservative Party who twice served as Prime Minister of the United Kingdom.,"19 Curzon Street, W1",,-0.150525,51.506364,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"MONTEFIORE, Sir Moses (1784-1885)",Philanthropist and Jewish Leader,"99 Park Lane, W1",,-0.156758,51.510458,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"NIGHTINGALE, Florence (1820-1910)","English social reformer, statistician and the founder of modern nursing.","10 South Street, W1",,-0.152918,51.508097,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"PALMERSTON, Lord (1784-1865)",Prime Minister and Foreign Secretary,"Naval and Military Club, 94 Piccadilly, W1",,-0.145241,51.505573,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"PEEL, Sir Robert (1750-1830) & his son Sir Robert PEEL (1788-1850)","Sir Robert Peel (Sr) was a Manufacturer and Reformer. 
His son was Prime Minister; Founder of the Metropolitan Police","16 Upper Grosvenor Street, W1",,-0.154708,51.510297,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"RAGLAN, Lord Fitzroy Somerset (1788-1855)","British Army officer who served in the Peninsular War and the Hundred Days, latterly as military secretary to the Duke of Wellington.He became commander of the British troops sent to the Crimea in 1854.","5 Stanhope Gate; Hyde Park, W1",,-0.151456,51.506639,https://ndiid.com/htTR3BIuSF6fYMQMpSYm5jb5vOYtH73uX-GIQzEVbdg,
"BURNEY, Fanny (Madame D'Arblay) (1752-1840)","English satirical novelist, diarist and playwright.","11 Bolton Street, W1",,-0.143656,51.506557,https://ndiid.com/SmSgSLvqyFbILG2Ca8BIpNkKjLINE-M5OzYgBctesyM,
"CAYLEY, Sir George (1773-1857)",Scientist and Pioneer of Aviation,"20 Hertford Street, W1",,-0.149899,51.50529,https://ndiid.com/SmSgSLvqyFbILG2Ca8BIpNkKjLINE-M5OzYgBctesyM,
"SELFRIDGE, Harry Gordon (1858-1947)",Department Store Magnate,"The Lansdowne Club, 9 Fitzmaurice Place, W1",,-0.148633,51.50473,https://ndiid.com/SmSgSLvqyFbILG2Ca8BIpNkKjLINE-M5OzYgBctesyM,
